iso2,date,semana,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,google_retail_and_recreation,google_grocery_and_pharmacy,google_parks,google_transit,google_workplaces,google_residential,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Norte,2020-03-01,10,18430980,0.0959,0.0959,7.6e-4,7.6e-4,0,0,0,0.0762571428571429,6.19215285714286,-6.65647857142857,-1.07276857142857,13.5368428571429,-0.0660157142857143,0,0,0
Norte,2020-03-02,10,18430980,0.16339,0.06749,0.00196,0.0012,0,0,0,1.26492142857143,6.47654142857143,-5.96317428571429,-0.209137142857143,14.6288542857143,-0.37079,0,0,0
Norte,2020-03-03,10,18430980,0.24365,0.08026,0.00405,0.00209,0,0,0,2.42710285714286,6.76558,-5.28990285714286,0.622944285714286,15.62545,-0.65133,0,0,0
Norte,2020-03-04,10,18430980,0.40965,0.166,0.00713,0.00308,0,0,0,3.50169428571429,7.04637714285714,-4.66201,1.38205857142857,16.47243,-0.892365714285714,0,0,0
Norte,2020-03-05,10,18430980,0.66505,0.2554,0.01117,0.00404,0,0,0,4.42168,7.30147857142857,-4.10988,2.02923285714286,17.1251357142857,-1.08057428571429,0,0,0
Norte,2020-03-06,10,18430980,1.00871,0.34366,0.01604,0.00487,0,0,0,5.09644142857143,7.49516857142857,-3.68403714285714,2.53528142857143,17.5770328571429,-1.21045428571429,0,0,0
Norte,2020-03-07,10,18430980,1.43421,0.4255,0.02163,0.00559,0,0,0,5.42944857142857,7.58717714285714,-3.44004714285714,2.87346285714286,17.83111,-1.27845714285714,0,0,0
Norte,2020-03-08,11,18430980,1.92981,0.4956,0.02789,0.00626,0,0,0,5.32417714285714,7.53723428571429,-3.43347,3.01703571428571,17.8903642857143,-1.28104142857143,0,0,0
Norte,2020-03-09,11,18430980,2.47558,0.54577,0.03449,0.0066,0,0,0,4.69871428571429,7.31714285714286,-3.71725571428571,2.93100285714286,17.7387114285714,-1.21024285714286,0,0,0
Norte,2020-03-10,11,18430980,3.032,0.55642,0.04079,0.0063,0,0,0,3.52956,6.94701428571429,-4.33391,2.54736428571429,17.2837485714286,-1.04044142857143,0,0,0
